year,nuclear,geo,bio,hydro,wind,solar
2151,57207277.00754131,1417221.7472071857,25088060.0281301,9082303.272938162,47051257.81082741,22664642.142857134
2152,57508017.18611273,1424623.6879867683,25205893.492416687,9113177.112223877,47371101.41011818,22824915.28571427
2153,57808757.36468416,1432025.628766351,25323726.956703275,9144050.951509591,47690945.00940894,22985188.428571403
2154,58109497.54325558,1439427.5695459335,25441560.420989864,9174924.790795306,48010788.60869971,23145461.571428537
2155,58410237.72182701,1446829.510325516,25559393.88527645,9205798.63008102,48330632.207990475,23305734.71428567
2156,58710977.90039843,1454231.4511050987,25677227.34956304,9236672.469366735,48650475.80728124,23466007.857142806
2157,59011718.07896986,1461633.3918846813,25795060.813849628,9267546.30865245,48970319.40657201,23626280.99999994
2158,59312458.257541284,1469035.332664264,25912894.278136216,9298420.147938164,49290163.00586277,23786554.142857134
2159,59613198.43611271,1476437.2734438465,26030727.742422804,9329293.987223879,49610006.60515354,23946827.28571427
2160,59913938.614684135,1483839.214223429,26148561.206709392,9360167.826509593,49929850.204444304,24107100.428571403
2161,60214678.79325556,1491241.1550030117,26266394.67099598,9391041.665795308,50249693.80373507,24267373.571428537
2162,60515418.971826985,1498643.0957825943,26384228.13528257,9421915.505081022,50569537.403025836,24427646.71428567
2163,60816159.15039841,1506045.036562177,26502061.599569157,9452789.344366737,50889381.0023166,24587919.857142806
2164,61116899.328969836,1513446.9773417595,26619895.063855745,9483663.183652451,51209224.60160737,24748192.99999994
2165,61417639.50754126,1520848.918121342,26737728.528142333,9514537.022938166,51529068.20089813,24908466.142857134
2166,61718379.68611269,1528250.8589009247,26855561.99242892,9545410.86222388,51848911.8001889,25068739.28571427
2167,62019119.86468411,1535652.7996805073,26973395.45671551,9576284.701509595,52168755.399479665,25229012.428571403
2168,62319860.04325554,1543054.7404600899,27091228.921002097,9607158.54079531,52488598.99877043,25389285.571428537
2169,62620600.22182696,1550456.6812396725,27209062.385288686,9638032.380081024,52808442.5980612,25549558.71428567
2170,62921340.40039839,1557858.622019255,27326895.849575274,9668906.219366739,53128286.19735196,25709831.857142806
2171,63222080.578969814,1565260.5627988377,27444729.31386186,9699780.058652453,53448129.79664273,25870104.99999994
2172,63522820.75754124,1572662.5035784203,27562562.77814845,9730653.897938168,53767973.395933494,26030378.142857134
2173,63823560.936112665,1580064.4443580029,27680396.242435038,9761527.737223882,54087816.99522426,26190651.28571427
2174,64124301.11468409,1587466.3851375855,27798229.706721626,9792401.576509597,54407660.594515026,26350924.428571403
2175,64425041.293255515,1594868.325917168,27916063.171008214,9823275.415795311,54727504.19380579,26511197.571428537
2176,64725781.47182694,1602270.2666967507,28033896.635294802,9854149.255081026,55047347.79309656,26671470.71428567
2177,65026521.650398366,1609672.2074763332,28151730.09958139,9885023.09436674,55367191.39238732,26831743.857142806
2178,65327261.82896979,1617074.1482559158,28269563.56386798,9915896.933652455,55687034.99167809,26992016.99999994
2179,65628002.00754122,1624476.0890354984,28387397.028154567,9946770.77293817,56006878.590968855,27152290.142857134
2180,65928742.18611264,1631878.029815081,28505230.492441155,9977644.612223884,56326722.19025962,27312563.28571427
2181,66229482.36468407,1639279.9705946636,28623063.956727743,10008518.451509599,56646565.78955039,27472836.428571403
2182,66530222.54325549,1646681.9113742462,28740897.42101433,10039392.290795313,56966409.38884115,27633109.571428537
2183,66830962.72182692,1654083.8521538288,28858730.88530092,10070266.130081028,57286252.98813192,27793382.71428567
2184,67131702.90039834,1661485.7929334114,28976564.349587508,10101139.969366742,57606096.587422684,27953655.857142806
2185,67432443.07896978,1668887.733712994,29094397.813874096,10132013.808652457,57925940.18671345,28113928.99999994
2186,67733183.25754121,1676289.6744925766,29212231.278160684,10162887.647938171,58245783.786004215,28274202.142857134
2187,68033923.43611264,1683691.6152721592,29330064.742447272,10193761.487223886,58565627.38529498,28434475.28571427
2188,68334663.61468408,1691093.5560517418,29447898.20673386,10224635.3265096,58885470.98458575,28594748.428571403
2189,68635403.79325551,1698495.4968313244,29565731.67102045,10255509.165795315,59205314.58387651,28755021.571428537
2190,68936143.97182694,1705897.437610907,29683565.135307036,10286383.00508103,59525158.18316728,28915294.71428567
2191,69236884.15039837,1713299.3783904896,29801398.599593624,10317256.844366744,59845001.782458045,29075567.857142806
2192,69537624.3289698,1720701.3191700722,29919232.063880213,10348130.683652459,60164845.38174881,29235840.99999994
2193,69838364.50754124,1728103.2599496548,30037065.5281668,10379004.522938173,60484688.981039576,29396114.142857134
2194,70139104.68611267,1735505.2007292374,30154898.99245339,10409878.362223888,60804532.58033034,29556387.28571427
2195,70439844.8646841,1742907.14150882,30272732.456739977,10440752.201509602,61124376.17962111,29716660.428571403
2196,70740585.04325554,1750309.0822884026,30390565.921026565,10471626.040795317,61444219.77891187,29876933.571428537
2197,71041325.22182697,1757711.0230679852,30508399.385313153,10502499.880081031,61764063.37820264,30037206.71428567
2198,71342065.4003984,1765112.9638475678,30626232.84959974,10533373.719366746,62083906.977493405,30197479.857142806
2199,71642805.57896984,1772514.9046271504,30744066.31388633,10564247.55865246,62403750.57678417,30357752.99999994
2200,71943545.75754127,1779916.845406733,30861899.778172918,10595121.397938175,62723594.17607494,30518026.142857134
2201,72244285.9361127,1787318.7861863156,30979733.242459506,10625995.23722389,63043437.7753657,30678299.28571427
2202,72545026.11468413,1794720.7269658982,31097566.706746094,10656869.076509604,63363281.37465647,30838572.428571403
2203,72845766.29325557,1802122.6677454808,31215400.171032682,10687742.915795319,63683124.973947234,30998845.571428537
2204,73146506.471827,1809524.6085250634,31333233.63531927,10718616.755081033,64002968.573238,31159118.71428567
2205,73447246.65039843,1816926.549304646,31451067.09960586,10749490.594366748,64322812.172528766,31319391.857142806
2206,73747986.82896987,1824328.4900842286,31568900.563892446,10780364.433652462,64642655.77181953,31479664.99999994
2207,74048727.0075413,1831730.4308638112,31686734.028179035,10811238.272938177,64962499.3711103,31639938.142857134
2208,74349467.18611273,1839132.3716433938,31804567.492465623,10842112.112223892,65282342.97040106,31800211.28571427
2209,74650207.36468416,1846534.3124229764,31922400.95675221,10872985.951509606,65602186.56969183,31960484.428571403
2210,74950947.5432556,1853936.253202559,32040234.4210388,10903859.79079532,65922030.168982595,32120757.571428537
2211,75251687.72182703,1861338.1939821416,32158067.885325387,10934733.630081035,66241873.76827336,32281030.71428567
2212,75552427.90039846,1868740.1347617242,32275901.349611975,10965607.46936675,66561717.36756413,32441303.857142806
2213,75853168.0789699,1876142.0755413068,32393734.813898563,10996481.308652464,66881560.96685489,32601576.99999994
2214,76153908.25754133,1883544.0163208894,32511568.27818515,11027355.147938179,67201404.56614566,32761850.142857134
2215,76454648.43611276,1890945.957100472,32629401.74247174,11058228.987223893,67521248.16543643,32922123.28571427
2216,76755388.6146842,1898347.8978800545,32747235.206758328,11089102.826509608,67841091.7647272,33082396.428571403
2217,77056128.79325563,1905749.8386596371,32865068.671044916,11119976.665795323,68160935.36401798,33242669.571428537
2218,77356868.97182706,1913151.7794392197,32982902.135331504,11150850.505081037,68480778.96330875,33402942.71428567
2219,77657609.1503985,1920553.7202188023,33100735.599618092,11181724.344366752,68800622.56259952,33563215.857142806
2220,77958349.32896993,1927955.660998385,33218569.06390468,11212598.183652466,69120466.1618903,33723488.99999994
2221,78259089.50754136,1935357.6017779675,33336402.52819127,11243472.02293818,69440309.76118107,33883762.142857134
2222,78559829.68611279,1942759.5425575501,33454235.992477857,11274345.862223895,69760153.36047184,34044035.28571427
2223,78860569.86468422,1950161.4833371327,33572069.456764445,11305219.70150961,70079996.95976262,34204308.4285714
2224,79161310.04325566,1957563.4241167153,33689902.92105103,11336093.540795324,70399840.55905339,34364581.57142854
2225,79462050.22182709,1964965.364896298,33807736.38533762,11366967.380081039,70719684.15834416,34524854.71428567
2226,79762790.40039852,1972367.3056758805,33925569.84962421,11397841.219366753,71039527.75763494,34685127.857142806
2227,80063530.57896996,1979769.246455463,34043403.3139108,11428715.058652468,71359371.35692571,34845400.99999994
2228,80364270.75754139,1987171.1872350457,34161236.778197385,11459588.897938183,71679214.95621648,35005674.142857134
2229,80665010.93611282,1994573.1280146283,34279070.24248397,11490462.737223897,71999058.55550726,35165947.28571427
2230,80965751.11468425,2001975.068794211,34396903.70677056,11521336.576509612,72318902.15479803,35326220.4285714
2231,81266491.29325569,2009377.0095737935,34514737.17105715,11552210.415795326,72638745.7540888,35486493.57142854
2232,81567231.47182712,2016778.950353376,34632570.63534374,11583084.25508104,72958589.35337958,35646766.71428567
2233,81867971.65039855,2024180.8911329587,34750404.099630326,11613958.094366755,73278432.95267035,35807039.857142806
2234,82168711.82896999,2031582.8319125413,34868237.563916914,11644831.93365247,73598276.55196112,35967312.99999994
2235,82469452.00754142,2038984.772692124,34986071.0282035,11675705.772938184,73918120.1512519,36127586.142857134
2236,82770192.18611285,2046386.7134717065,35103904.49249009,11706579.612223899,74237963.75054267,36287859.28571427
2237,83070932.36468428,2053788.654251289,35221737.95677668,11737453.451509614,74557807.34983344,36448132.4285714
2238,83371672.54325572,2061190.5950308717,35339571.42106327,11768327.290795328,74877650.94912422,36608405.57142854
2239,83672412.72182715,2068592.5358104543,35457404.885349855,11799201.130081043,75197494.54841499,36768678.71428567
2240,83973152.90039858,2075994.4765900369,35575238.34963644,11830074.969366757,75517338.14770576,36928951.857142806
2241,84273893.07897002,2083396.4173696195,35693071.81392303,11860948.808652472,75837181.74699654,37089224.99999994
2242,84574633.25754145,2090798.358149202,35810905.27820962,11891822.647938186,76157025.34628731,37249498.142857134
2243,84875373.43611288,2098200.2989287847,35928738.74249621,11922696.4872239,76476868.94557808,37409771.28571427
2244,85176113.61468431,2105602.2397083673,36046572.206782795,11953570.326509615,76796712.54486886,37570044.4285714
2245,85476853.79325575,2113004.18048795,36164405.67106938,11984444.16579533,77116556.14415963,37730317.57142854
2246,85777593.97182718,2120406.1212675325,36282239.13535597,12015318.005081045,77436399.7434504,37890590.71428567
2247,86078334.15039861,2127808.062047115,36400072.59964256,12046191.844366759,77756243.34274118,38050863.857142806
2248,86379074.32897004,2135210.0028266977,36517906.06392915,12077065.683652474,78076086.94203195,38211136.99999994
2249,86679814.50754148,2142611.9436062803,36635739.528215736,12107939.522938188,78395930.54132272,38371410.142857134
2250,86980554.68611291,2150013.884385863,36753572.992502324,12138813.362223903,78715774.1406135,38531683.28571427
2251,87281294.86468434,2157415.8251654455,36871406.45678891,12169687.201509617,79035617.73990427,38691956.4285714
2252,87582035.04325578,2164817.765945028,36989239.9210755,12200561.040795332,79355461.33919504,38852229.57142854
