,Year,EnergyConsumption
165,2182.0,187203382.28344104
166,2183.0,187260791.12433428
167,2184.0,187317749.68221262
168,2185.0,187374263.23403555
169,2186.0,187430336.97462773
170,2187.0,187485976.0182708
171,2188.0,187541185.4002582
172,2189.0,187595970.0784145
173,2190.0,187650334.9345793
174,2191.0,187704284.77605748
175,2192.0,187757824.33703625
176,2193.0,187810958.27997
177,2194.0,187863691.19693378
178,2195.0,187916027.61094636
179,2196.0,187967971.9772633
180,2197.0,188019528.68464145
181,2198.0,188070702.05657482
182,2199.0,188121496.35250336
183,2200.0,188171915.76899472
184,2201.0,188221964.44090003
185,2202.0,188271646.44248432
186,2203.0,188320965.78853223
187,2204.0,188369926.43542925
188,2205.0,188418532.28222004
189,2206.0,188466787.1716432
190,2207.0,188514694.89114425
191,2208.0,188562259.17386645
192,2209.0,188609483.69962052
193,2210.0,188656372.0958337
194,2211.0,188702927.9384785
195,2212.0,188749154.75298193
196,2213.0,188795056.01511532
197,2214.0,188840635.15186554
198,2215.0,188885895.54228792
199,2216.0,188930840.51834127
200,2217.0,188975473.36570564
201,2218.0,189019797.32458296
202,2219.0,189063815.59048116
203,2220.0,189107531.31498218
204,2221.0,189150947.60649413
205,2222.0,189194067.53098804
206,2223.0,189236894.11271968
207,2224.0,189279430.33493656
208,2225.0,189321679.14057067
209,2226.0,189363643.4329172
210,2227.0,189405326.07629973
211,2228.0,189446729.8967217
212,2229.0,189487857.68250534
213,2230.0,189528712.1849176
214,2231.0,189569296.11878344
215,2232.0,189609612.16308758
216,2233.0,189649662.96156356
217,2234.0,189689451.12327203
218,2235.0,189728979.22316712
219,2236.0,189768249.80265197
220,2237.0,189807265.3701234
221,2238.0,189846028.40150604
222,2239.0,189884541.34077612
223,2240.0,189922806.60047504
224,2241.0,189960826.56221318
225,2242.0,189998603.57716408
226,2243.0,190036139.96654904
227,2244.0,190073438.02211264
228,2245.0,190110500.00658908
229,2246.0,190147328.1541598
230,2247.0,190183924.67090252
231,2248.0,190220291.73523158
232,2249.0,190256431.4983304
233,2250.0,190292346.08457547
234,2251.0,190328037.5919527
235,2252.0,190363508.092466
236,2253.0,190398759.6325381
237,2254.0,190433794.23340434
238,2255.0,190468613.89149874
239,2256.0,190503220.5788335
240,2257.0,190537616.24337104
241,2258.0,190571802.8093897
242,2259.0,190605782.1778425
243,2260.0,190639556.22670954
244,2261.0,190673126.81134397
245,2262.0,190706495.76481175
246,2263.0,190739664.89822528
247,2264.0,190772636.00107113
248,2265.0,190805410.8415318
249,2266.0,190837991.16680184
250,2267.0,190870378.70339838
251,2268.0,190902575.15746596
252,2269.0,190934582.2150764
253,2270.0,190966401.5425228
254,2271.0,190998034.786609
255,2272.0,191029483.57493353
256,2273.0,191060749.51616883
257,2274.0,191091834.20033553
258,2275.0,191122739.19907197
259,2276.0,191153466.06589907
260,2277.0,191184016.33648074
261,2278.0,191214391.5288796
262,2279.0,191244593.14380857
263,2280.0,191274622.66487783
264,2281.0,191304481.55883798
265,2282.0,191334171.27581868
266,2283.0,191363693.2495635
267,2284.0,191393048.89766067
268,2285.0,191422239.62177014
269,2286.0,191451266.80784637
270,2287.0,191480131.82635802
271,2288.0,191508836.03250337
272,2289.0,191537380.76642257
273,2290.0,191565767.3534062
274,2291.0,191593997.10410026
275,2292.0,191622071.31470802
276,2293.0,191649991.26718837
277,2294.0,191677758.22945097
278,2295.0,191705373.45554808
279,2296.0,191732838.18586358
280,2297.0,191760153.64729843
281,2298.0,191787321.05345353
282,2299.0,191814341.60480946
283,2300.0,191841216.48890322
284,2301.0,191867946.88050225
285,2302.0,191894533.94177565
286,2303.0,191920978.82246253
287,2304.0,191947282.66003782
288,2305.0,191973446.5798753
289,2306.0,191999471.69540817
290,2307.0,192025359.10828692
291,2308.0,192051109.90853485
292,2309.0,192076725.174701
293,2310.0,192102205.9740108
294,2311.0,192127553.36251417
295,2312.0,192152768.38523164
296,2313.0,192177852.0762977
297,2314.0,192202805.45910236
298,2315.0,192227629.5464303
299,2316.0,192252325.3405978
300,2317.0,192276893.83358783
301,2318.0,192301336.00718263
302,2319.0,192325652.8330947
303,2320.0,192349845.2730955
304,2321.0,192373914.27914217
305,2322.0,192397860.7935026
306,2323.0,192421685.74887815
307,2324.0,192445390.0685249
308,2325.0,192468974.66637293
309,2326.0,192492440.4471436
310,2327.0,192515788.30646557
311,2328.0,192539019.1309883
312,2329.0,192562133.7984947
313,2330.0,192585133.17801145
314,2331.0,192608018.12991804
315,2332.0,192630789.50605395
316,2333.0,192653448.14982447
317,2334.0,192675994.8963046
318,2335.0,192698430.572342
319,2336.0,192720755.99665776
320,2337.0,192742971.97994605
321,2338.0,192765079.3249724
322,2339.0,192787078.82667017
323,2340.0,192808971.2722361
324,2341.0,192830757.44122398
325,2342.0,192852438.10563725
326,2343.0,192874014.0300202
327,2344.0,192895485.97154787
328,2345.0,192916854.6801146
329,2346.0,192938120.8984213
330,2347.0,192959285.3620615
331,2348.0,192980348.79960626
332,2349.0,193001311.93268767
333,2350.0,193022175.4760813
334,2351.0,193042940.1377874
335,2352.0,193063606.6191111
336,2353.0,193084175.61474118
337,2354.0,193104647.81282815
338,2355.0,193125023.89506075
339,2356.0,193145304.5367418
340,2357.0,193165490.40686268
341,2358.0,193185582.16817698
342,2359.0,193205580.477273
343,2360.0,193225485.9846452
344,2361.0,193245299.33476493
345,2362.0,193265021.16614977
346,2363.0,193284652.1114322
347,2364.0,193304192.79742733
